name,career_name,entry_levels,final,path,
Mathematics And Computer Science,Systems Analyst,"['Developer Analyst', 'Applications Programmer']",False,"[""Applications Programmer"", ""Systems Analyst"", ""Information Technology Analyst"", ""Technical Systems Engineer""]"
Mathematics And Computer Science,Information Technology Analyst,"['Developer Analyst', 'Applications Programmer']",False,"[""Applications Programmer"", ""Systems Analyst"", ""Information Technology Analyst"", ""Technical Systems Engineer""]"
Mathematics And Computer Science,Technical Systems Engineer,"['Developer Analyst', 'Applications Programmer']",True,"[""Applications Programmer"", ""Systems Analyst"", ""Information Technology Analyst"", ""Technical Systems Engineer""]"
Mathematics And Computer Science,Accountant Assistant,['Accountant Assistant'],False,"[""Accountant Assistant"", ""Cost Accountant"", ""Fixed Asset Accountant"", ""Asset Analyst""]"
Mathematics And Computer Science,Cost Accountant,['Accountant Assistant'],False,"[""Accountant Assistant"", ""Cost Accountant"", ""Fixed Asset Accountant"", ""Asset Analyst""]"
Mathematics And Computer Science,Fixed Asset Accountant,['Accountant Assistant'],False,"[""Accountant Assistant"", ""Cost Accountant"", ""Fixed Asset Accountant"", ""Asset Analyst""]"
Mathematics And Computer Science,Asset Analyst,['Accountant Assistant'],True,"[""Accountant Assistant"", ""Cost Accountant"", ""Fixed Asset Accountant"", ""Asset Analyst""]"
Mathematics And Computer Science,Associate Software Engineer,['Associate Software Engineer'],False,"[""Associate Software Engineer"", ""Test Engineer"", ""Validation Engineer"", ""System Validation Engineer""]"
Mathematics And Computer Science,Test Engineer,['Associate Software Engineer'],False,"[""Associate Software Engineer"", ""Test Engineer"", ""Validation Engineer"", ""System Validation Engineer""]"
Mathematics And Computer Science,Validation Engineer,['Associate Software Engineer'],False,"[""Associate Software Engineer"", ""Test Engineer"", ""Validation Engineer"", ""System Validation Engineer""]"
Mathematics And Computer Science,System Validation Engineer,['Associate Software Engineer'],True,"[""Associate Software Engineer"", ""Test Engineer"", ""Validation Engineer"", ""System Validation Engineer""]"
